In	IN	IN	(S/S)/NP	(S_113/S_113)/NP_114
an	DT	DT	NP[nb]/N	NP[nb]_135/N_135
Oct.	NNP	NNP	N/N	N_130/N_130
19	CD	CD	N/N	N_123/N_123
review	NN	NN	N	N
of	IN	IN	(NP\NP)/NP	(NP_143\NP_143)/NP_144
The	DT	DT	NP[nb]/N	NP[nb]_151/N_151
Misanthrope	NN	NN	N	N
at	IN	IN	(NP\NP)/NP	(NP_159\NP_159)/NP_160
Chicago	NNP	NNP	N	N
's	POS	POS	(NP[nb]/N)\NP	(NP[nb]_176/N_176)\NP_177
Goodman	NNP	NNP	N/N	N_169/N_169
Theatre	NNP	NNP	N	N
-LRB-	LRB	-LRB-	(NP\NP)/S[dcl]	(NP_188\NP_188)/S[dcl]_189
Revitalized	VBN	VBN	N/N	N_237/N_237
Classics	NNS	NNS	N	N
Take	VBP	VBP	(S[dcl]\NP)/NP	(S[dcl]\NP_196)/NP_197
the	DT	DT	NP[nb]/N	NP[nb]_204/N_204
Stage	NN	NN	N	N
in	IN	IN	((S\NP)\(S\NP))/NP	((S_217\NP_212)_217\(S_217\NP_212)_217)/NP_218
Windy	NNP	NNP	N/N	N_227/N_227
City	NNP	NNP	N	N
,	,	,	,	,
Leisure	NN	NN	(S\S)/(S\S)	(S_275\S_269)_275/(S_275\S_269)_275
&	CC	CC	(S\S)/(S\S)	(S_261\S_255)_261/(S_261\S_255)_261
Arts	NNS	NNS	S\S	S_247\S_247
-RRB-	RRB	-RRB-	RRB	RRB
,	,	,	,	,
the	DT	DT	NP[nb]/N	NP[nb]_53/N_53
role	NN	NN	N	N
of	IN	IN	(NP\NP)/NP	(NP_61\NP_61)/NP_62
Celimene	NNP	NNP	N	N
,	,	,	,	,
played	VBN	VBN	S[pss]\NP	S[pss]\NP_72
by	IN	IN	((S\NP)\(S\NP))/NP	((S_85\NP_80)_85\(S_85\NP_80)_85)/NP_86
Kim	NNP	NNP	N/N	N_95/N_95
Cattrall	NNP	NNP	N	N
,	,	,	,	,
was	VBD	VBD	(S[dcl]\NP)/(S[pss]\NP)	(S[dcl]\NP_10)/(S[pss]_11\NP_10:B)_11
mistakenly	RB	RB	(S\NP)/(S\NP)	(S_46\NP_41)_46/(S_46\NP_41)_46
attributed	VBN	VBN	(S[pss]\NP)/PP	(S[pss]\NP_18)/PP_19
to	TO	TO	PP/NP	PP/NP_24
Christina	NNP	NNP	N/N	N_33/N_33
Haag	NNP	NNP	N	N
.	.	.	.	.

Ms.	NNP	NNP	N/N	N_254/N_254
Haag	NNP	NNP	N	N
plays	VBZ	VBZ	(S[dcl]\NP)/NP	(S[dcl]\NP_241)/NP_242
Elianti	NNP	NNP	N	N
.	.	.	.	.

Rolls-Royce	NNP	NNP	N/N	N_141/N_141
Motor	NNP	NNP	N/N	N_134/N_134
Cars	NNPS	NNPS	N/N	N_127/N_127
Inc.	NNP	NNP	N	N
said	VBD	VBD	(S[dcl]\NP)/S[dcl]	(S[dcl]\NP_8)/S[dcl]_9
it	PRP	PRP	NP	NP
expects	VBZ	VBZ	((S[dcl]\NP)/(S[to]\NP))/NP	((S[dcl]\NP_20)/(S[to]_21\NP_22:B)_21)/NP_22
its	PRP$	PRP$	NP[nb]/N	NP[nb]_36/N_36
U.S.	NNP	NNP	N/N	N_31/N_31
sales	NNS	NNS	N	N
to	TO	TO	(S[to]\NP)/(S[b]\NP)	(S[to]\NP_45)/(S[b]_46\NP_45:B)_46
remain	VB	VB	(S[b]\NP)/(S[adj]\NP)	(S[b]\NP_55)/(S[adj]_56\NP_55:B)_56
steady	JJ	JJ	S[adj]\NP	S[adj]\NP_61
at	IN	IN	((S\NP)\(S\NP))/NP	((S_74\NP_69)_74\(S_74\NP_69)_74)/NP_75
about	IN	IN	(N/N)/(N/N)	(N_98/N_92)_98/(N_98/N_92)_98
1,200	CD	CD	N/N	N_84/N_84
cars	NNS	NNS	N	N
in	IN	IN	((S\NP)\(S\NP))/NP	((S_112\NP_107)_112\(S_112\NP_107)_112)/NP_113
1990	CD	CD	N	N
.	.	.	.	.

The	DT	DT	NP[nb]/N	NP[nb]_224/N_224
luxury	NN	NN	N/N	N_219/N_219
auto	NN	NN	N/N	N_212/N_212
maker	NN	NN	N	N
last	JJ	JJ	((S\NP)/(S\NP))/((S\NP)/(S\NP))	((S_203\NP_195)_203/(S_196\NP_195)_196)_203/((S_203\NP_195)_203/(S_196\NP_195)_196)_203
year	NN	NN	(S\NP)/(S\NP)	(S_180\NP_175)_180/(S_180\NP_175)_180
sold	VBD	VBD	(S[dcl]\NP)/NP	(S[dcl]\NP_136)/NP_137
1,214	CD	CD	N/N	N_146/N_146
cars	NNS	NNS	N	N
in	IN	IN	((S\NP)\(S\NP))/NP	((S_160\NP_155)_160\(S_160\NP_155)_160)/NP_161
the	DT	DT	NP[nb]/N	NP[nb]_168/N_168
U.S.	NNP	NNP	N	N

Howard	NNP	NNP	N/N	N_202/N_202
Mosher	NNP	NNP	N	N
,	,	,	,	,
president	NN	NN	N	N
and	CC	CC	conj	conj
chief	JJ	JJ	N/N	N_222/N_222
executive	NN	NN	N/N	N_215/N_215
officer	NN	NN	N	N
,	,	,	,	,
said	VBD	VBD	(S[dcl]\NP)/S[dcl]	(S[dcl]\NP_96)/S[dcl]_97
he	PRP	PRP	NP	NP
anticipates	VBZ	VBZ	(S[dcl]\NP)/NP	(S[dcl]\NP_104)/NP_105
growth	NN	NN	N	N
for	IN	IN	(NP\NP)/NP	(NP_116\NP_116)/NP_117
the	DT	DT	NP[nb]/N	NP[nb]_138/N_138
luxury	NN	NN	N/N	N_133/N_133
auto	NN	NN	N/N	N_126/N_126
maker	NN	NN	N	N
in	IN	IN	(NP\NP)/NP	(NP_146\NP_146)/NP_147
Britain	NNP	NNP	N	N
and	CC	CC	conj	conj
Europe	NNP	NNP	N	N
,	,	,	,	,
and	CC	CC	conj	conj
in	IN	IN	(NP\NP)/NP	(NP_162\NP_162)/NP_163
Far	JJ	JJ	(N/N)/(N/N)	(N_186/N_180)_186/(N_186/N_180)_186
Eastern	JJ	JJ	N/N	N_172/N_172
markets	NNS	NNS	N	N
.	.	.	.	.

BELL	NNP	NNP	N/N	N_91/N_91
INDUSTRIES	NNP	NNP	N/N	N_84/N_84
Inc.	NNP	NNP	N	N
increased	VBD	VBD	(S[dcl]\NP)/NP	(S[dcl]\NP_8)/NP_9
its	PRP$	PRP$	NP[nb]/N	NP[nb]_16/N_16
quarterly	NN	NN	N	N
to	TO	TO	((S\NP)\(S\NP))/NP	((S_29\NP_24)_29\(S_29\NP_24)_29)/NP_30
10	CD	CD	N/N	N_39/N_39
cents	NNS	NNS	N	N
from	IN	IN	((S\NP)\(S\NP))/NP	((S_53\NP_48)_53\(S_53\NP_48)_53)/NP_54
seven	CD	CD	N/N	N_63/N_63
cents	NNS	NNS	N	N
a	DT	DT	(NP\NP)/N	(NP_72\NP_72)/N_73
share	NN	NN	N	N
.	.	.	.	.

The	DT	DT	NP[nb]/N	NP[nb]_129/N_129
new	JJ	JJ	N/N	N_124/N_124
rate	NN	NN	N	N
will	MD	MD	(S[dcl]\NP)/(S[b]\NP)	(S[dcl]\NP_88)/(S[b]_89\NP_88:B)_89
be	VB	VB	(S[b]\NP)/(S[adj]\NP)	(S[b]\NP_98)/(S[adj]_99\NP_98:B)_99
payable	JJ	JJ	(S[adj]\NP)/NP	(S[adj]\NP_106)/NP_107
Feb.	NNP	NNP	N/N[num]	N/N[num]_112
15	CD	(null)	N[num]	N[num]
.	.	.	.	.

A	DT	DT	NP[nb]/N	NP[nb]_97/N_97
record	NN	NN	N/N	N_92/N_92
date	NN	NN	N	N
has	VBZ	VBZ	(S[dcl]\NP)/(S[pt]\NP)	(S[dcl]\NP_55)/(S[pt]_56\NP_55:B)_56
n't	RB	RB	(S\NP)\(S\NP)	(S_68\NP_63)_68\(S_68\NP_63)_68
been	VBN	VBN	(S[pt]\NP)/(S[pss]\NP)	(S[pt]\NP_77)/(S[pss]_78\NP_77:B)_78
set	VBN	VBN	S[pss]\NP	S[pss]\NP_83
.	.	.	.	.

Bell	NNP	NNP	N	N
,	,	,	,	,
based	VBN	VBN	S[pss]\NP	S[pss]\NP_106
in	IN	IN	((S\NP)\(S\NP))/NP	((S_119\NP_114)_119\(S_119\NP_114)_119)/NP_120
Los	NNP	NNP	N/N	N_129/N_129
Angeles	NNP	NNP	N	N
,	,	,	,	,
makes	VBZ	VBZ	(S[dcl]\NP)/NP	(S[dcl]\NP_57)/NP_58
and	CC	CC	conj	conj
distributes	VBZ	VBZ	(S[dcl]\NP)/NP	(S[dcl]\NP_65)/NP_66
electronic	JJ	JJ	N/N	N_95/N_95
,	,	,	,	,
computer	NN	NN	N/N	N_86/N_86
and	CC	CC	conj	conj
building	NN	NN	N/N	N_77/N_77
products	NNS	NNS	N	N
.	.	.	.	.

Investors	NNS	NNS	N	N
are	VBP	VBP	(S[dcl]\NP)/(S[ng]\NP)	(S[dcl]\NP_10)/(S[ng]_11\NP_10:B)_11
appealing	VBG	VBG	((S[ng]\NP)/(S[to]\NP))/PP	((S[ng]\NP_22)/(S[to]_23\NP_22:B)_23)/PP_24
to	TO	TO	PP/NP	PP/NP_29
the	DT	DT	NP[nb]/N	NP[nb]_52/N_52
Securities	NNPS	NNPS	N/N	N_47/N_47
and	CC	CC	conj	conj
Exchange	NNP	NNP	N/N	N_38/N_38
Commission	NNP	NNP	N	N
not	RB	RB	(S\NP)/(S\NP)	(S_143\NP_138)_143/(S_143\NP_138)_143
to	TO	TO	(S[to]\NP)/(S[b]\NP)	(S[to]\NP_61)/(S[b]_62\NP_61:B)_62
limit	VB	VB	(S[b]\NP)/NP	(S[b]\NP_69)/NP_70
their	PRP$	PRP$	NP[nb]/N	NP[nb]_77/N_77
access	NN	NN	N	N
to	TO	TO	(NP\NP)/NP	(NP_85\NP_85)/NP_86
information	NN	NN	N	N
about	IN	IN	(NP\NP)/NP	(NP_97\NP_97)/NP_98
stock	NN	NN	N/N	N_111/N_111
purchases	NNS	NNS	N	N
and	CC	CC	conj	conj
sales	NNS	NNS	N	N
by	IN	IN	(NP\NP)/NP	(NP_120\NP_120)/NP_121
corporate	JJ	JJ	N/N	N_130/N_130
insiders	NNS	NNS	N	N
.	.	.	.	.

A	DT	DT	NP[nb]/N	NP[nb]_312/N_312
SEC	NNP	NNP	N/N	N_307/N_307
proposal	NN	NN	N	N
to	TO	TO	(S[to]\NP)/(S[b]\NP)	(S[to]\NP_253)/(S[b]_254\NP_253:B)_254
ease	VB	VB	(S[b]\NP)/NP	(S[b]\NP_261)/NP_262
reporting	NN	NN	N/N	N_271/N_271
requirements	NNS	NNS	N	N
for	IN	IN	(NP\NP)/NP	(NP_280\NP_280)/NP_281
some	DT	DT	NP[nb]/N	NP[nb]_295/N_295
company	NN	NN	N/N	N_290/N_290
executives	NNS	NNS	N	N
would	MD	MD	(S[dcl]\NP)/(S[b]\NP)	(S[dcl]\NP_172)/(S[b]_173\NP_172:B)_173
undermine	VB	VB	(S[b]\NP)/NP	(S[b]\NP_180)/NP_181
the	DT	DT	NP[nb]/N	NP[nb]_188/N_188
usefulness	NN	NN	N	N
of	IN	IN	(NP\NP)/NP	(NP_196\NP_196)/NP_197
information	NN	NN	N	N
on	IN	IN	(NP\NP)/NP	(NP_208\NP_208)/NP_209
insider	NN	NN	N/N	N_218/N_218
trades	NNS	NNS	N	N
as	IN	IN	(NP\NP)/NP	(NP_227\NP_227)/NP_228
a	DT	DT	NP[nb]/N	NP[nb]_242/N_242
stock-picking	JJ	JJ	N/N	N_237/N_237
tool	NN	NN	N	N
,	,	,	,	,
individual	JJ	JJ	N/N	N_141/N_141
investors	NNS	NNS	N	N
and	CC	CC	conj	conj
professional	JJ	JJ	N/N	N_158/N_158
money	NN	NN	N/N	N_151/N_151
managers	NNS	NNS	N	N
contend	VBP	VBP	(S[dcl]\S[dcl])\NP	(S[dcl]\S[dcl]_131)\NP_132
.	.	.	.	.

They	PRP	PRP	NP	NP
make	VBP	VBP	(S[dcl]\NP)/NP	(S[dcl]\NP_164)/NP_165
the	DT	DT	NP[nb]/N	NP[nb]_172/N_172
argument	NN	NN	N	N
in	IN	IN	((S\NP)\(S\NP))/NP	((S_185\NP_180)_185\(S_185\NP_180)_185)/NP_186
letters	NNS	NNS	N	N
to	TO	TO	(NP\NP)/NP	(NP_197\NP_197)/NP_198
the	DT	DT	NP[nb]/N	NP[nb]_205/N_205
agency	NN	NN	N	N
about	IN	IN	(NP\NP)/NP	(NP_213\NP_213)/NP_214
rule	NN	NN	N/N	N_223/N_223
changes	NNS	NNS	N	N
proposed	VBD	VBD	S[pss]\NP	S[pss]\NP_229
this	DT	DT	((S\NP)\(S\NP))/N	((S_242\NP_237)_242\(S_242\NP_237)_242)/N_243
past	JJ	JJ	N/N	N_252/N_252
summer	NN	NN	N	N
that	IN	IN	(NP\NP)/(S[dcl]\NP)	(NP_267\NP_267)/(S[dcl]_268\NP_267:B)_268
,	,	,	,	,
among	IN	IN	((S\NP)/(S\NP))/NP	((S_374\NP_369)_374/(S_374\NP_369)_374)/NP_375
other	JJ	JJ	N/N	N_384/N_384
things	NNS	NNS	N	N
,	,	,	,	,
would	MD	MD	(S[dcl]\NP)/(S[b]\NP)	(S[dcl]\NP_279)/(S[b]_280\NP_279:B)_280
exempt	VB	VB	((S[b]\NP)/PP)/NP	((S[b]\NP_289)/PP_290)/NP_291
many	JJ	JJ	N/N	N_307/N_307
middle-management	JJ	JJ	N/N	N_300/N_300
executives	NNS	NNS	N	N
from	IN	IN	PP/(S[ng]\NP)	PP/(S[ng]_315\NP_313)_315
reporting	VBG	VBG	(S[ng]\NP)/NP	(S[ng]\NP_322)/NP_323
trades	NNS	NNS	N	N
in	IN	IN	(NP\NP)/NP	(NP_334\NP_334)/NP_335
their	PRP$	PRP$	NP[nb]/N	NP[nb]_359/N_359
own	JJ	JJ	N/N	N_354/N_354
companies	NNS	NNS	N	N
'	POS	POS	(NP[nb]/N)\NP	(NP[nb]_344/N_344)\NP_345
shares	NNS	NNS	N	N
.	.	.	.	.

The	DT	DT	NP[nb]/N	NP[nb]_329/N_329
proposed	VBN	VBN	N/N	N_324/N_324
changes	NNS	NNS	N	N
also	RB	RB	(S\NP)/(S\NP)	(S_315\NP_310)_315/(S_315\NP_310)_315
would	MD	MD	(S[dcl]\NP)/(S[b]\NP)	(S[dcl]\NP_204)/(S[b]_205\NP_204:B)_205
allow	VB	VB	((S[b]\NP)/(S[to]\NP))/NP	((S[b]\NP_216)/(S[to]_217\NP_218:B)_217)/NP_218
executives	NNS	NNS	N	N
to	TO	TO	(S[to]\NP)/(S[b]\NP)	(S[to]\NP_230)/(S[b]_231\NP_230:B)_231
report	VB	VB	(S[b]\NP)/NP	(S[b]\NP_238)/NP_239
exercises	NNS	NNS	N	N
of	IN	IN	(NP\NP)/NP	(NP_250\NP_250)/NP_251
options	NNS	NNS	N	N
later	RBR	RBR	(S\NP)\(S\NP)	(S_266\NP_261)_266\(S_266\NP_261)_266
and	CC	CC	conj	conj
less	RBR	RBR	((S\NP)\(S\NP))/((S\NP)\(S\NP))	((S_301\NP_293)_301\(S_294\NP_293)_294)_301/((S_301\NP_293)_301\(S_294\NP_293)_294)_301
often	RB	RB	(S\NP)\(S\NP)	(S_278\NP_273)_278\(S_278\NP_273)_278
.	.	.	.	.

Many	NN	JJ	N	N
of	IN	IN	(NP\NP)/NP	(NP_443\NP_443)/NP_444
the	DT	DT	NP[nb]/N	NP[nb]_451/N_451
letters	NNS	NNS	N	N
maintain	VBP	VBP	(S[dcl]\NP)/S[em]	(S[dcl]\NP_129)/S[em]_130
that	IN	IN	S[em]/S[dcl]	S[em]/S[dcl]_135
investor	NN	NN	N/N	N_226/N_226
confidence	NN	NN	N	N
has	VBZ	VBZ	(S[dcl]\NP)/(S[pt]\NP)	(S[dcl]\NP_144)/(S[pt]_145\NP_144:B)_145
been	VBN	VBN	(S[pt]\NP)/(S[pss]\NP)	(S[pt]\NP_154)/(S[pss]_155\NP_154:B)_155
so	RB	RB	(S\NP)/(S\NP)	(S_217\NP_212)_217/(S_217\NP_212)_217
shaken	VBN	VBN	(S[pss]\NP)/S[em]	(S[pss]\NP_162)/S[em]_163
by	IN	IN	((S\NP)\(S\NP))/NP	((S_176\NP_171)_176\(S_176\NP_171)_176)/NP_177
the	DT	DT	NP[nb]/N	NP[nb]_205/N_205
1987	CD	CD	N/N	N_200/N_200
stock	NN	NN	N/N	N_193/N_193
market	NN	NN	N/N	N_186/N_186
crash	NN	NN	N	N
--	:	:	:	:
and	CC	CC	conj	conj
the	DT	DT	NP[nb]/N	NP[nb]_303/N_303
markets	NNS	NNS	N	N
already	RB	RB	(S\NP)/(S\NP)	(S_296\NP_291)_296/(S_296\NP_291)_296
so	RB	RB	(S\NP)/(S\NP)	(S_284\NP_279)_284/(S_284\NP_279)_284
stacked	VBN	VBN	(S[dcl]\NP)/S[em]	(S[dcl]\NP_243)/S[em]_244
against	IN	IN	((S\NP)\(S\NP))/NP	((S_257\NP_252)_257\(S_257\NP_252)_257)/NP_258
the	DT	DT	NP[nb]/N	NP[nb]_272/N_272
little	JJ	JJ	N/N	N_267/N_267
guy	NN	NN	N	N
--	:	:	:	:
that	IN	IN	S[em]/S[dcl]	S[em]/S[dcl]_319
any	DT	DT	NP[nb]/N	NP[nb]_401/N_401
decrease	NN	NN	N	N
in	IN	IN	(NP\NP)/NP	(NP_409\NP_409)/NP_410
information	NN	NN	N	N
on	IN	IN	(NP\NP)/NP	(NP_421\NP_421)/NP_422
insider-trading	NN	NN	N/N	N_431/N_431
patterns	NNS	NNS	N	N
might	MD	MD	(S[dcl]\NP)/(S[b]\NP)	(S[dcl]\NP_328)/(S[b]_329\NP_328:B)_329
prompt	VB	VB	((S[b]\NP)/(S[to]\NP))/NP	((S[b]\NP_340)/(S[to]_341\NP_342:B)_341)/NP_342
individuals	NNS	NNS	N	N
to	TO	TO	(S[to]\NP)/(S[b]\NP)	(S[to]\NP_354)/(S[b]_355\NP_354:B)_355
get	VB	VB	S[b]\NP	S[b]\NP_360
out	RB	RB	((S\NP)\(S\NP))/PP	((S_373\NP_368)_373\(S_373\NP_368)_373)/PP_374
of	IN	IN	PP/NP	PP/NP_379
stocks	NNS	NNS	N	N
altogether	RB	RB	(S\NP)\(S\NP)	(S_394\NP_389)_394\(S_394\NP_389)_394
.	.	.	.	.

The	DT	DT	NP[nb]/N	NP[nb]_539/N_539
SEC	NNP	NNP	N	N
has	VBZ	VBZ	(S[dcl]\NP)/(S[pt]\NP)	(S[dcl]\NP_463)/(S[pt]_464\NP_463:B)_464
historically	RB	RB	(S\NP)\(S\NP)	(S_476\NP_471)_476\(S_476\NP_471)_476
paid	VBN	VBN	((S[pt]\NP)/PP)/NP	((S[pt]\NP_485)/PP_486)/NP_487
obeisance	NN	NN	N	N
to	TO	TO	PP/NP	PP/NP_495
the	DT	DT	NP[nb]/N	NP[nb]_502/N_502
ideal	NN	NN	N	N
of	IN	IN	(NP\NP)/NP	(NP_510\NP_510)/NP_511
a	DT	DT	NP[nb]/N	NP[nb]_532/N_532
level	JJ	JJ	N/N	N_527/N_527
playing	NN	NN	N/N	N_520/N_520
field	NN	NN	N	N
,	,	,	,	,
wrote	VBD	VBD	(S[dcl]\S[dcl])/NP	(S[dcl]\S[dcl]_289)/NP_290
Clyde	NNP	NNP	N/N	N_306/N_306
S.	NNP	NNP	N/N	N_299/N_299
McGregor	NNP	NNP	N	N
of	IN	IN	(NP\NP)/NP	(NP_315\NP_315)/NP_316
Winnetka	NNP	NNP	N	N
,	,	,	,	,
Ill.	NNP	NNP	N	N
,	,	,	,	,
in	IN	IN	(S\S)/NP	(S_334\S_334)/NP_335
one	CD	CD	N	N
of	IN	IN	(NP\NP)/NP	(NP_346\NP_346)/NP_347
the	DT	DT	NP[nb]/N	NP[nb]_361/N_361
92	CD	CD	N/N	N_356/N_356
letters	NNS	NNS	N	N
the	DT	DT	NP[nb]/N	NP[nb]_438/N_438
agency	NN	NN	N	N
has	VBZ	VBZ	(S[dcl]\NP)/(S[pt]\NP)	(S[dcl]\NP_370)/(S[pt]_371\NP_370:B)_371
received	VBN	VBN	(S[pt]\NP)/NP	(S[pt]\NP_378)/NP_379
since	IN	IN	((S\NP)\(S\NP))/S[dcl]	((S_392\NP_387)_392\(S_392\NP_387)_392)/S[dcl]_393
the	DT	DT	NP[nb]/N	NP[nb]_431/N_431
changes	NNS	NNS	N	N
were	VBD	VBD	(S[dcl]\NP)/(S[pss]\NP)	(S[dcl]\NP_402)/(S[pss]_403\NP_402:B)_403
proposed	VBN	VBN	S[pss]\NP	S[pss]\NP_408
Aug.	NNP	NNP	((S\NP)\(S\NP))/N[num]	((S_421\NP_416)_421\(S_421\NP_416)_421)/N[num]_422
17	CD	(null)	N[num]	N[num]
.	.	.	.	.

Apparently	RB	RB	S/S	S_277/S_277
the	DT	DT	NP[nb]/N	NP[nb]_270/N_270
commission	NN	NN	N	N
did	VBD	VBD	(S[dcl]\NP)/(S[b]\NP)	(S[dcl]\NP_218)/(S[b]_219\NP_218:B)_219
not	RB	RB	(S\NP)\(S\NP)	(S_231\NP_226)_231\(S_231\NP_226)_231
really	RB	RB	(S\NP)\(S\NP)	(S_243\NP_238)_243\(S_243\NP_238)_243
believe	VB	VB	(S[b]\NP)/PP	(S[b]\NP_250)/PP_251
in	IN	IN	PP/NP	PP/NP_256
this	DT	DT	NP[nb]/N	NP[nb]_263/N_263
ideal	NN	NN	N	N
.	.	.	.	.

Currently	RB	RB	S/S	S_216/S_216
,	,	,	,	,
the	DT	DT	NP[nb]/N	NP[nb]_207/N_207
rules	NNS	NNS	N	N
force	VBP	VBP	((S[dcl]\NP)/(S[to]\NP))/NP	((S[dcl]\NP_76)/(S[to]_77\NP_78:B)_77)/NP_78
executives	NNS	NNS	N	N
,	,	,	,	,
directors	NNS	NNS	N	N
and	CC	CC	conj	conj
other	JJ	JJ	N/N	N_100/N_100
corporate	JJ	JJ	N/N	N_93/N_93
insiders	NNS	NNS	N	N
to	TO	TO	(S[to]\NP)/(S[b]\NP)	(S[to]\NP_114)/(S[b]_115\NP_114:B)_115
report	VB	VB	(S[b]\NP)/NP	(S[b]\NP_122)/NP_123
purchases	NNS	NNS	N	N
and	CC	CC	conj	conj
sales	NNS	NNS	N	N
of	IN	IN	(NP\NP)/NP	(NP_138\NP_138)/NP_139
their	PRP$	PRP$	NP[nb]/N	NP[nb]_156/N_156
companies	NNS	NNS	N	N
'	POS	POS	(NP[nb]/N)\NP	(NP[nb]_148/N_148)\NP_149
shares	NNS	NNS	N	N
within	IN	IN	((S\NP)\(S\NP))/NP	((S_169\NP_164)_169\(S_169\NP_164)_169)/NP_170
about	IN	IN	NP/NP	NP_184/NP_184
a	DT	DT	NP[nb]/N	NP[nb]_177/N_177
month	NN	NN	N	N
after	IN	IN	(NP\NP)/NP	(NP_192\NP_192)/NP_193
the	DT	DT	NP[nb]/N	NP[nb]_200/N_200
transaction	NN	NN	N	N
.	.	.	.	.

But	CC	CC	S/S	S_227/S_227
about	IN	IN	(N/N)/(N/N)	(N_203/N_197)_203/(N_203/N_197)_203
25	CD	CD	N/N	N_189/N_189
%	NN	NN	N	N
of	IN	IN	(NP\NP)/NP	(NP_212\NP_212)/NP_213
the	DT	DT	NP[nb]/N	NP[nb]_220/N_220
insiders	NNS	NNS	N	N
,	,	,	,	,
according	VBG	VBG	((S\NP)/(S\NP))/PP	((S_162\NP_157)_162/(S_162\NP_157)_162)/PP_163
to	TO	TO	PP/NP	PP/NP_168
SEC	NNP	NNP	N/N	N_177/N_177
figures	NNS	NNS	N	N
,	,	,	,	,
file	VBP	VBP	(S[dcl]\NP)/NP	(S[dcl]\NP_127)/NP_128
their	PRP$	PRP$	NP[nb]/N	NP[nb]_135/N_135
reports	NNS	NNS	N	N
late	RB	RB	(S\NP)\(S\NP)	(S_147\NP_142)_147\(S_147\NP_142)_147
.	.	.	.	.
